BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
0,128,0.5000000000,0.0000000000,1.000000000000e+00,1.000000000000e+00,20000,20000,0.0000
1,127,0.4960937500,-0.0039062500,2.500000000000e-01,2.509000000000e-01,20000,20000,2.2833
1,128,0.5000000000,0.0000000000,5.000000000000e-01,4.965000000000e-01,20000,20000,2.5843
1,129,0.5039062500,0.0039062500,2.500000000000e-01,2.526000000000e-01,20000,20000,2.2833
2,126,0.4921875000,-0.0078125000,6.203824424163e-02,6.215000000000e-02,20000,20000,4.2618
2,127,0.4960937500,-0.0039062500,2.503259452412e-01,2.527000000000e-01,20000,20000,4.8676
2,128,0.5000000000,0.0000000000,3.752716210343e-01,3.748500000000e-01,20000,20000,5.0435
2,129,0.5039062500,0.0039062500,2.503259452412e-01,2.484500000000e-01,20000,20000,4.8676
2,130,0.5078125000,0.0078125000,6.203824424163e-02,6.185000000000e-02,20000,20000,4.2618
3,125,0.4882812500,-0.0117187500,1.528027886615e-02,1.495000000000e-02,20000,20000,6.0604
3,126,0.4921875000,-0.0078125000,9.330033598742e-02,9.425000000000e-02,20000,20000,6.8461
3,127,0.4960937500,-0.0039062500,2.347197211338e-01,2.293500000000e-01,20000,20000,7.2468
3,128,0.5000000000,0.0000000000,3.133993280252e-01,3.176500000000e-01,20000,20000,7.3723
3,129,0.5039062500,0.0039062500,2.347197211338e-01,2.382000000000e-01,20000,20000,7.2468
3,130,0.5078125000,0.0078125000,9.330033598742e-02,8.950000000000e-02,20000,20000,6.8461
3,131,0.5117187500,0.0117187500,1.528027886615e-02,1.610000000000e-02,20000,20000,6.0604
4,124,0.4843750000,-0.0156250000,3.735319448363e-03,3.650000000000e-03,20000,20000,7.7302
4,125,0.4882812500,-0.0117187500,3.068040305675e-02,3.225000000000e-02,20000,20000,8.6447
4,126,0.4921875000,-0.0078125000,1.089234227647e-01,1.081500000000e-01,20000,20000,9.1950
4,127,0.4960937500,-0.0039062500,2.193183187266e-01,2.139000000000e-01,20000,20000,9.4989
4,128,0.5000000000,0.0000000000,2.746850720072e-01,2.743000000000e-01,20000,20000,9.5967
4,129,0.5039062500,0.0039062500,2.193183187266e-01,2.230500000000e-01,20000,20000,9.4989
4,130,0.5078125000,0.0078125000,1.089234227647e-01,1.102000000000e-01,20000,20000,9.1950
