Site,Region,A,B,Sel,BitStruck,SiteCount,ProbPerSingleFlip,OutBefore,OutAfter,DeltaOnes,DeltaFraction
sel_in_region_0,0,0,0,0,sel,32,0.0416666667,0,0,0,0.0000000000
b_in_region_0,0,0,0,0,b,32,0.0416666667,0,1,1,0.0039062500
a_in_region_0,0,0,0,0,a,32,0.0416666667,0,0,0,0.0000000000
sel_in_region_1,1,0,0,1,sel,32,0.0416666667,0,0,0,0.0000000000
b_in_region_1,1,0,0,1,b,32,0.0416666667,0,0,0,0.0000000000
a_in_region_1,1,0,0,1,a,32,0.0416666667,0,1,1,0.0039062500
sel_in_region_2,2,0,1,0,sel,32,0.0416666667,1,0,-1,-0.0039062500
b_in_region_2,2,0,1,0,b,32,0.0416666667,1,0,-1,-0.0039062500
a_in_region_2,2,0,1,0,a,32,0.0416666667,1,1,0,0.0000000000
sel_in_region_3,3,0,1,1,sel,32,0.0416666667,0,1,1,0.0039062500
b_in_region_3,3,0,1,1,b,32,0.0416666667,0,0,0,0.0000000000
a_in_region_3,3,0,1,1,a,32,0.0416666667,0,1,1,0.0039062500
sel_in_region_4,4,1,0,0,sel,32,0.0416666667,0,1,1,0.0039062500
b_in_region_4,4,1,0,0,b,32,0.0416666667,0,1,1,0.0039062500
a_in_region_4,4,1,0,0,a,32,0.0416666667,0,0,0,0.0000000000
sel_in_region_5,5,1,0,1,sel,32,0.0416666667,1,0,-1,-0.0039062500
b_in_region_5,5,1,0,1,b,32,0.0416666667,1,1,0,0.0000000000
a_in_region_5,5,1,0,1,a,32,0.0416666667,1,0,-1,-0.0039062500
sel_in_region_6,6,1,1,0,sel,32,0.0416666667,1,1,0,0.0000000000
b_in_region_6,6,1,1,0,b,32,0.0416666667,1,0,-1,-0.0039062500
a_in_region_6,6,1,1,0,a,32,0.0416666667,1,1,0,0.0000000000
sel_in_region_7,7,1,1,1,sel,32,0.0416666667,1,1,0,0.0000000000
b_in_region_7,7,1,1,1,b,32,0.0416666667,1,1,0,0.0000000000
a_in_region_7,7,1,1,1,a,32,0.0416666667,1,0,-1,-0.0039062500
