BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
0,128,0.5000000000,0.0000000000,1.000000000000e+00,1.000000000000e+00,20000,20000,0.0000
1,127,0.4960937500,-0.0039062500,5.000000000000e-01,4.967000000000e-01,20000,20000,2.4082
1,128,0.5000000000,0.0000000000,5.000000000000e-01,5.033000000000e-01,20000,20000,2.4082
2,127,0.4960937500,-0.0039062500,2.495107632094e-01,2.522000000000e-01,20000,20000,4.5138
2,128,0.5000000000,0.0000000000,5.009784735812e-01,5.009500000000e-01,20000,20000,4.8165
2,129,0.5039062500,0.0039062500,2.495107632094e-01,2.468500000000e-01,20000,20000,4.5138
3,126,0.4921875000,-0.0078125000,1.242661448141e-01,1.227000000000e-01,20000,20000,6.4415
3,127,0.4960937500,-0.0039062500,3.757338551859e-01,3.817000000000e-01,20000,20000,6.9220
3,128,0.5000000000,0.0000000000,3.757338551859e-01,3.754000000000e-01,20000,20000,6.9220
3,129,0.5039062500,0.0039062500,1.242661448141e-01,1.202000000000e-01,20000,20000,6.4415
4,126,0.4921875000,-0.0078125000,6.176686569345e-02,6.055000000000e-02,20000,20000,8.2425
4,127,0.4960937500,-0.0039062500,2.499971164826e-01,2.483000000000e-01,20000,20000,8.8497
4,128,0.5000000000,0.0000000000,3.764720356480e-01,3.787500000000e-01,20000,20000,9.0275
4,129,0.5039062500,0.0039062500,2.499971164826e-01,2.521000000000e-01,20000,20000,8.8497
4,130,0.5078125000,0.0078125000,6.176686569345e-02,6.030000000000e-02,20000,20000,8.2425
5,125,0.4882812500,-0.0117187500,3.064025621014e-02,3.050000000000e-02,20000,20000,9.9450
5,126,0.4921875000,-0.0078125000,1.556330474166e-01,1.589000000000e-01,20000,20000,10.6508
5,127,0.4960937500,-0.0039062500,3.137266963733e-01,3.123000000000e-01,20000,20000,10.9552
5,128,0.5000000000,0.0000000000,3.137266963733e-01,3.162500000000e-01,20000,20000,10.9552
5,129,0.5039062500,0.0039062500,1.556330474166e-01,1.525500000000e-01,20000,20000,10.6508
5,130,0.5078125000,0.0078125000,3.064025621014e-02,2.950000000000e-02,20000,20000,9.9450
6,125,0.4882812500,-0.0117187500,1.516904202908e-02,1.575000000000e-02,20000,20000,11.5665
6,126,0.4921875000,-0.0078125000,9.282728508633e-02,9.725000000000e-02,20000,20000,12.3532
6,127,0.4960937500,-0.0039062500,2.348309295339e-01,2.379000000000e-01,20000,20000,12.7563
6,128,0.5000000000,0.0000000000,3.143454867015e-01,3.085500000000e-01,20000,20000,12.8829
6,129,0.5039062500,0.0039062500,2.348309295339e-01,2.321500000000e-01,20000,20000,12.7563
6,130,0.5078125000,0.0078125000,9.282728508633e-02,9.295000000000e-02,20000,20000,12.3532
6,131,0.5117187500,0.0117187500,1.516904202908e-02,1.545000000000e-02,20000,20000,11.5665
7,124,0.4843750000,-0.0156250000,7.494585982747e-03,8.000000000000e-03,20000,20000,13.1193
7,125,0.4882812500,-0.0117187500,5.372119232433e-02,5.185000000000e-02,20000,20000,13.9747
7,126,0.4921875000,-0.0078125000,1.637319208291e-01,1.631000000000e-01,20000,20000,14.4587
7,127,0.4960937500,-0.0039062500,2.750523008638e-01,2.727000000000e-01,20000,20000,14.6840
7,128,0.5000000000,0.0000000000,2.750523008638e-01,2.748000000000e-01,20000,20000,14.6840
