Target,Bit,Weight,StrikeCycle,CleanOnes,FaultedOnes,DeltaOnes,DeltaFraction
accumulator,0,1,0,128,128,0,0.0000000000
accumulator,0,1,8,128,128,0,0.0000000000
accumulator,0,1,16,128,128,0,0.0000000000
accumulator,0,1,24,128,128,0,0.0000000000
accumulator,0,1,32,128,128,0,0.0000000000
accumulator,0,1,40,128,127,-1,-0.0039062500
accumulator,0,1,48,128,127,-1,-0.0039062500
accumulator,0,1,56,128,128,0,0.0000000000
accumulator,0,1,64,128,127,-1,-0.0039062500
accumulator,0,1,72,128,128,0,0.0000000000
accumulator,0,1,80,128,128,0,0.0000000000
accumulator,0,1,88,128,128,0,0.0000000000
accumulator,0,1,96,128,128,0,0.0000000000
accumulator,0,1,104,128,128,0,0.0000000000
accumulator,0,1,112,128,127,-1,-0.0039062500
accumulator,0,1,120,128,127,-1,-0.0039062500
accumulator,0,1,128,128,128,0,0.0000000000
accumulator,0,1,136,128,128,0,0.0000000000
accumulator,0,1,144,128,127,-1,-0.0039062500
accumulator,0,1,152,128,127,-1,-0.0039062500
accumulator,0,1,160,128,128,0,0.0000000000
accumulator,0,1,168,128,127,-1,-0.0039062500
accumulator,0,1,176,128,128,0,0.0000000000
accumulator,0,1,184,128,127,-1,-0.0039062500
accumulator,0,1,192,128,128,0,0.0000000000
accumulator,0,1,200,128,128,0,0.0000000000
accumulator,0,1,208,128,127,-1,-0.0039062500
accumulator,0,1,216,128,127,-1,-0.0039062500
accumulator,0,1,224,128,128,0,0.0000000000
accumulator,0,1,232,128,127,-1,-0.0039062500
accumulator,0,1,240,128,128,0,0.0000000000
accumulator,0,1,248,128,127,-1,-0.0039062500
accumulator,0,1,255,128,127,-1,-0.0039062500
pc_bus,0,1,0,128,128,0,0.0000000000
pc_bus,0,1,8,128,128,0,0.0000000000
pc_bus,0,1,16,128,128,0,0.0000000000
pc_bus,0,1,24,128,127,-1,-0.0039062500
pc_bus,0,1,32,128,127,-1,-0.0039062500
pc_bus,0,1,40,128,127,-1,-0.0039062500
pc_bus,0,1,48,128,128,0,0.0000000000
pc_bus,0,1,56,128,127,-1,-0.0039062500
pc_bus,0,1,64,128,127,-1,-0.0039062500
pc_bus,0,1,72,128,127,-1,-0.0039062500
pc_bus,0,1,80,128,127,-1,-0.0039062500
pc_bus,0,1,88,128,127,-1,-0.0039062500
pc_bus,0,1,96,128,127,-1,-0.0039062500
pc_bus,0,1,104,128,128,0,0.0000000000
pc_bus,0,1,112,128,128,0,0.0000000000
pc_bus,0,1,120,128,127,-1,-0.0039062500
pc_bus,0,1,128,128,128,0,0.0000000000
pc_bus,0,1,136,128,128,0,0.0000000000
pc_bus,0,1,144,128,127,-1,-0.0039062500
pc_bus,0,1,152,128,127,-1,-0.0039062500
pc_bus,0,1,160,128,127,-1,-0.0039062500
pc_bus,0,1,168,128,128,0,0.0000000000
pc_bus,0,1,176,128,128,0,0.0000000000
pc_bus,0,1,184,128,127,-1,-0.0039062500
pc_bus,0,1,192,128,127,-1,-0.0039062500
pc_bus,0,1,200,128,127,-1,-0.0039062500
pc_bus,0,1,208,128,127,-1,-0.0039062500
pc_bus,0,1,216,128,128,0,0.0000000000
pc_bus,0,1,224,128,128,0,0.0000000000
pc_bus,0,1,232,128,127,-1,-0.0039062500
pc_bus,0,1,240,128,128,0,0.0000000000
pc_bus,0,1,248,128,128,0,0.0000000000
pc_bus,0,1,255,128,127,-1,-0.0039062500
pc_bus,1,2,0,128,129,1,0.0039062500
pc_bus,1,2,8,128,127,-1,-0.0039062500
pc_bus,1,2,16,128,127,-1,-0.0039062500
pc_bus,1,2,24,128,127,-1,-0.0039062500
pc_bus,1,2,32,128,127,-1,-0.0039062500
pc_bus,1,2,40,128,129,1,0.0039062500
pc_bus,1,2,48,128,128,0,0.0000000000
pc_bus,1,2,56,128,128,0,0.0000000000
pc_bus,1,2,64,128,127,-1,-0.0039062500
pc_bus,1,2,72,128,127,-1,-0.0039062500
pc_bus,1,2,80,128,129,1,0.0039062500
pc_bus,1,2,88,128,129,1,0.0039062500
pc_bus,1,2,96,128,128,0,0.0000000000
pc_bus,1,2,104,128,127,-1,-0.0039062500
pc_bus,1,2,112,128,128,0,0.0000000000
pc_bus,1,2,120,128,127,-1,-0.0039062500
pc_bus,1,2,128,128,127,-1,-0.0039062500
pc_bus,1,2,136,128,127,-1,-0.0039062500
pc_bus,1,2,144,128,127,-1,-0.0039062500
pc_bus,1,2,152,128,127,-1,-0.0039062500
pc_bus,1,2,160,128,127,-1,-0.0039062500
pc_bus,1,2,168,128,127,-1,-0.0039062500
pc_bus,1,2,176,128,129,1,0.0039062500
pc_bus,1,2,184,128,129,1,0.0039062500
pc_bus,1,2,192,128,127,-1,-0.0039062500
pc_bus,1,2,200,128,127,-1,-0.0039062500
pc_bus,1,2,208,128,127,-1,-0.0039062500
pc_bus,1,2,216,128,127,-1,-0.0039062500
pc_bus,1,2,224,128,127,-1,-0.0039062500
pc_bus,1,2,232,128,129,1,0.0039062500
pc_bus,1,2,240,128,128,0,0.0000000000
pc_bus,1,2,248,128,129,1,0.0039062500
pc_bus,1,2,255,128,128,0,0.0000000000
