BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
0,64,0.2500000000,0.0000000000,1.000000000000e+00,1.000000000000e+00,20000,20006,0.0000
1,63,0.2460937500,-0.0039062500,2.500000000000e-01,2.491000000000e-01,20000,20018,2.1072
1,64,0.2500000000,0.0000000000,5.000000000000e-01,5.039500000000e-01,20000,20018,2.4082
1,65,0.2539062500,0.0039062500,2.500000000000e-01,2.469500000000e-01,20000,20018,2.1072
2,62,0.2421875000,-0.0078125000,6.164383561644e-02,6.135000000000e-02,20000,20030,3.9066
2,63,0.2460937500,-0.0039062500,2.509784735812e-01,2.535000000000e-01,20000,20030,4.5163
2,64,0.2500000000,0.0000000000,3.752446183953e-01,3.763000000000e-01,20000,20030,4.6910
2,65,0.2539062500,0.0039062500,2.500000000000e-01,2.481000000000e-01,20000,20030,4.5146
2,66,0.2578125000,0.0078125000,6.213307240704e-02,6.075000000000e-02,20000,20030,3.9100
3,61,0.2382812500,-0.0117187500,1.498791297341e-02,1.480000000000e-02,20000,20042,5.5229
3,62,0.2421875000,-0.0078125000,9.319097502014e-02,9.145000000000e-02,20000,20042,6.3165
3,63,0.2460937500,-0.0039062500,2.353862092782e-01,2.418500000000e-01,20000,20042,6.7189
3,64,0.2500000000,0.0000000000,3.136065385058e-01,3.141500000000e-01,20000,20042,6.8435
3,65,0.2539062500,0.0039062500,2.342753539772e-01,2.324000000000e-01,20000,20042,6.7168
3,66,0.2578125000,0.0078125000,9.320248647404e-02,9.035000000000e-02,20000,20042,6.3165
3,67,0.2617187500,0.0117187500,1.535052377115e-02,1.500000000000e-02,20000,20042,5.5332
4,60,0.2343750000,-0.0156250000,3.592387785375e-03,3.300000000000e-03,20000,20054,7.0072
4,61,0.2382812500,-0.0117187500,3.032917556505e-02,2.995000000000e-02,20000,20054,7.9336
4,62,0.2421875000,-0.0078125000,1.089995709778e-01,1.107000000000e-01,20000,20054,8.4892
4,63,0.2460937500,-0.0039062500,2.200371216118e-01,2.170500000000e-01,20000,20054,8.7943
4,64,0.2500000000,0.0000000000,2.750047097451e-01,2.730000000000e-01,20000,20054,8.8911
4,65,0.2539062500,0.0039062500,2.189241969630e-01,2.206500000000e-01,20000,20054,8.7921
4,66,0.2578125000,0.0078125000,1.086391426070e-01,1.102500000000e-01,20000,20054,8.4878
4,67,0.2617187500,0.0117187500,3.070391975182e-02,3.165000000000e-02,20000,20054,7.9390
