CountA,BitsFlipped,MeanOnesDelta,Log10Combinations
0,0,0.0000000000,0.0000
0,1,0.5000000000,1.5051
0,2,1.0000000000,2.6955
0,3,1.5000000000,3.6955
0,4,2.0000000000,4.5558
0,5,2.5000000000,5.3040
0,6,3.0000000000,5.9572
0,7,3.5000000000,6.5271
0,8,4.0000000000,7.0219
0,9,4.5000000000,7.4479
0,10,5.0000000000,7.8096
0,11,5.5000000000,8.1107
0,12,6.0000000000,8.3537
0,13,6.5000000000,8.5408
0,14,7.0000000000,8.6734
0,15,7.5000000000,8.7526
0,16,8.0000000000,8.7789
0,17,8.5000000000,8.7526
0,18,9.0000000000,8.6734
0,19,9.5000000000,8.5408
0,20,10.0000000000,8.3537
0,21,10.5000000000,8.1107
0,22,11.0000000000,7.8096
0,23,11.5000000000,7.4479
0,24,12.0000000000,7.0219
0,25,12.5000000000,6.5271
0,26,13.0000000000,5.9572
0,27,13.5000000000,5.3040
0,28,14.0000000000,4.5558
0,29,14.5000000000,3.6955
0,30,15.0000000000,2.6955
0,31,15.5000000000,1.5051
0,32,16.0000000000,0.0000
1,0,0.0000000000,0.0000
1,1,0.4687500000,1.5051
1,2,0.9375000000,2.6955
1,3,1.4062500000,3.6955
1,4,1.8750000000,4.5558
1,5,2.3437500000,5.3040
1,6,2.8125000000,5.9572
1,7,3.2812500000,6.5271
1,8,3.7500000000,7.0219
1,9,4.2187500000,7.4479
1,10,4.6875000000,7.8096
1,11,5.1562500000,8.1107
1,12,5.6250000000,8.3537
1,13,6.0937500000,8.5408
1,14,6.5625000000,8.6734
1,15,7.0312500000,8.7526
1,16,7.5000000000,8.7789
1,17,7.9687500000,8.7526
1,18,8.4375000000,8.6734
1,19,8.9062500000,8.5408
1,20,9.3750000000,8.3537
1,21,9.8437500000,8.1107
1,22,10.3125000000,7.8096
1,23,10.7812500000,7.4479
1,24,11.2500000000,7.0219
1,25,11.7187500000,6.5271
1,26,12.1875000000,5.9572
1,27,12.6562500000,5.3040
1,28,13.1250000000,4.5558
1,29,13.5937500000,3.6955
1,30,14.0625000000,2.6955
1,31,14.5312500000,1.5051
1,32,15.0000000000,0.0000
2,0,0.0000000000,0.0000
2,1,0.4375000000,1.5051
2,2,0.8750000000,2.6955
2,3,1.3125000000,3.6955
2,4,1.7500000000,4.5558
2,5,2.1875000000,5.3040
2,6,2.6250000000,5.9572
2,7,3.0625000000,6.5271
2,8,3.5000000000,7.0219
2,9,3.9375000000,7.4479
2,10,4.3750000000,7.8096
2,11,4.8125000000,8.1107
2,12,5.2500000000,8.3537
2,13,5.6875000000,8.5408
2,14,6.1250000000,8.6734
2,15,6.5625000000,8.7526
2,16,7.0000000000,8.7789
2,17,7.4375000000,8.7526
2,18,7.8750000000,8.6734
2,19,8.3125000000,8.5408
2,20,8.7500000000,8.3537
2,21,9.1875000000,8.1107
2,22,9.6250000000,7.8096
2,23,10.0625000000,7.4479
2,24,10.5000000000,7.0219
2,25,10.9375000000,6.5271
2,26,11.3750000000,5.9572
2,27,11.8125000000,5.3040
2,28,12.2500000000,4.5558
2,29,12.6875000000,3.6955
2,30,13.1250000000,2.6955
2,31,13.5625000000,1.5051
2,32,14.0000000000,0.0000
3,0,0.0000000000,0.0000
3,1,0.4062500000,1.5051
3,2,0.8125000000,2.6955
3,3,1.2187500000,3.6955
3,4,1.6250000000,4.5558
3,5,2.0312500000,5.3040
3,6,2.4375000000,5.9572
3,7,2.8437500000,6.5271
3,8,3.2500000000,7.0219
3,9,3.6562500000,7.4479
3,10,4.0625000000,7.8096
3,11,4.4687500000,8.1107
3,12,4.8750000000,8.3537
3,13,5.2812500000,8.5408
3,14,5.6875000000,8.6734
3,15,6.0937500000,8.7526
3,16,6.5000000000,8.7789
3,17,6.9062500000,8.7526
3,18,7.3125000000,8.6734
3,19,7.7187500000,8.5408
3,20,8.1250000000,8.3537
3,21,8.5312500000,8.1107
3,22,8.9375000000,7.8096
3,23,9.3437500000,7.4479
3,24,9.7500000000,7.0219
3,25,10.1562500000,6.5271
3,26,10.5625000000,5.9572
3,27,10.9687500000,5.3040
3,28,11.3750000000,4.5558
3,29,11.7812500000,3.6955
3,30,12.1875000000,2.6955
3,31,12.5937500000,1.5051
3,32,13.0000000000,0.0000
4,0,0.0000000000,0.0000
4,1,0.3750000000,1.5051
4,2,0.7500000000,2.6955
4,3,1.1250000000,3.6955
4,4,1.5000000000,4.5558
4,5,1.8750000000,5.3040
4,6,2.2500000000,5.9572
4,7,2.6250000000,6.5271
4,8,3.0000000000,7.0219
4,9,3.3750000000,7.4479
4,10,3.7500000000,7.8096
4,11,4.1250000000,8.1107
4,12,4.5000000000,8.3537
4,13,4.8750000000,8.5408
4,14,5.2500000000,8.6734
4,15,5.6250000000,8.7526
4,16,6.0000000000,8.7789
4,17,6.3750000000,8.7526
4,18,6.7500000000,8.6734
4,19,7.1250000000,8.5408
4,20,7.5000000000,8.3537
4,21,7.8750000000,8.1107
4,22,8.2500000000,7.8096
4,23,8.6250000000,7.4479
4,24,9.0000000000,7.0219
