BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,ProbRegisterClean,ProbRegisterHit,ProbMSBIntact,ProbMSBLost,Log10TrialCount
0,64,0.2500000000,0.0000000000,1.000000000000e+00,1.000000000000e+00,20000,20000,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,0.0000
1,0,0.0000000000,-0.2500000000,3.787878787879e-03,4.800000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,0.000000000000e+00,3.787878787879e-03,-0.0000
1,63,0.2460937500,-0.0039062500,4.848484848485e-01,4.868000000000e-01,20000,20000,4.848484848485e-01,0.000000000000e+00,4.848484848485e-01,0.000000000000e+00,2.1072
1,65,0.2539062500,0.0039062500,4.924242424242e-01,4.885500000000e-01,20000,20000,4.848484848485e-01,7.575757575757e-03,4.924242424242e-01,0.000000000000e+00,2.1139
1,66,0.2578125000,0.0078125000,3.787878787879e-03,3.450000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,3.787878787879e-03,0.000000000000e+00,-0.0000
1,68,0.2656250000,0.0156250000,3.787878787879e-03,4.050000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,3.787878787879e-03,0.000000000000e+00,-0.0000
1,72,0.2812500000,0.0312500000,3.787878787879e-03,4.000000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,3.787878787879e-03,0.000000000000e+00,-0.0000
1,80,0.3125000000,0.0625000000,3.787878787879e-03,4.550000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,3.787878787879e-03,0.000000000000e+00,-0.0000
1,96,0.3750000000,0.1250000000,3.787878787879e-03,3.800000000000e-03,20000,20000,0.000000000000e+00,3.787878787879e-03,3.787878787879e-03,0.000000000000e+00,-0.0000
2,0,0.0000000000,-0.2500000000,7.374121442562e-03,6.750000000000e-03,20000,20180,0.000000000000e+00,7.374121442562e-03,0.000000000000e+00,7.374121442562e-03,2.4082
2,1,0.0039062500,-0.2460937500,5.761032377002e-05,1.000000000000e-04,20000,20180,0.000000000000e+00,5.761032377002e-05,0.000000000000e+00,5.761032377002e-05,0.3010
2,2,0.0078125000,-0.2421875000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,0.000000000000e+00,2.880516188501e-05,0.0000
2,4,0.0156250000,-0.2343750000,2.880516188501e-05,5.000000000000e-05,20000,20180,0.000000000000e+00,2.880516188501e-05,0.000000000000e+00,2.880516188501e-05,0.0000
2,8,0.0312500000,-0.2187500000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,0.000000000000e+00,2.880516188501e-05,0.0000
2,16,0.0625000000,-0.1875000000,2.880516188501e-05,1.000000000000e-04,20000,20180,0.000000000000e+00,2.880516188501e-05,0.000000000000e+00,2.880516188501e-05,0.0000
2,32,0.1250000000,-0.1250000000,2.880516188501e-05,5.000000000000e-05,20000,20180,0.000000000000e+00,2.880516188501e-05,0.000000000000e+00,2.880516188501e-05,0.0000
2,63,0.2460937500,-0.0039062500,2.341283558014e-01,2.322500000000e-01,20000,20180,2.341283558014e-01,0.000000000000e+00,2.341283558014e-01,0.000000000000e+00,3.9100
2,64,0.2500000000,0.0000000000,4.793178937666e-01,4.798000000000e-01,20000,20180,4.719437723240e-01,7.374121442562e-03,4.793178937666e-01,0.000000000000e+00,4.2212
2,65,0.2539062500,0.0039062500,2.378154165226e-01,2.403000000000e-01,20000,20180,2.341283558014e-01,3.687060721281e-03,2.378154165226e-01,0.000000000000e+00,3.9168
2,66,0.2578125000,0.0078125000,7.402926604447e-03,6.850000000000e-03,20000,20180,0.000000000000e+00,7.402926604447e-03,7.402926604447e-03,0.000000000000e+00,2.4099
2,67,0.2617187500,0.0117187500,7.431731766333e-03,7.350000000000e-03,20000,20180,0.000000000000e+00,7.431731766333e-03,7.431731766333e-03,0.000000000000e+00,2.4116
2,69,0.2695312500,0.0195312500,3.744671045051e-03,4.300000000000e-03,20000,20180,0.000000000000e+00,3.744671045051e-03,3.744671045051e-03,0.000000000000e+00,2.1139
2,70,0.2734375000,0.0234375000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,71,0.2773437500,0.0273437500,3.687060721281e-03,3.200000000000e-03,20000,20180,0.000000000000e+00,3.687060721281e-03,3.687060721281e-03,0.000000000000e+00,2.1072
2,73,0.2851562500,0.0351562500,3.744671045051e-03,4.250000000000e-03,20000,20180,0.000000000000e+00,3.744671045051e-03,3.744671045051e-03,0.000000000000e+00,2.1139
2,74,0.2890625000,0.0390625000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,76,0.2968750000,0.0468750000,2.880516188501e-05,5.000000000000e-05,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,79,0.3085937500,0.0585937500,3.687060721281e-03,3.750000000000e-03,20000,20180,0.000000000000e+00,3.687060721281e-03,3.687060721281e-03,0.000000000000e+00,2.1072
2,81,0.3164062500,0.0664062500,3.744671045051e-03,4.100000000000e-03,20000,20180,0.000000000000e+00,3.744671045051e-03,3.744671045051e-03,0.000000000000e+00,2.1139
2,82,0.3203125000,0.0703125000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,84,0.3281250000,0.0781250000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,88,0.3437500000,0.0937500000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,95,0.3710937500,0.1210937500,3.687060721281e-03,3.350000000000e-03,20000,20180,0.000000000000e+00,3.687060721281e-03,3.687060721281e-03,0.000000000000e+00,2.1072
2,97,0.3789062500,0.1289062500,3.744671045051e-03,3.300000000000e-03,20000,20180,0.000000000000e+00,3.744671045051e-03,3.744671045051e-03,0.000000000000e+00,2.1139
2,98,0.3828125000,0.1328125000,2.880516188501e-05,5.000000000000e-05,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,100,0.3906250000,0.1406250000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,104,0.4062500000,0.1562500000,2.880516188501e-05,0.000000000000e+00,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
2,112,0.4375000000,0.1875000000,2.880516188501e-05,5.000000000000e-05,20000,20180,0.000000000000e+00,2.880516188501e-05,2.880516188501e-05,0.000000000000e+00,0.0000
3,0,0.0000000000,-0.2500000000,1.076565439611e-02,1.105000000000e-02,20000,20516,0.000000000000e+00,1.076565439611e-02,0.000000000000e+00,1.076565439611e-02,4.5138
3,1,0.0039062500,-0.2460937500,2.110912626688e-04,1.500000000000e-04,20000,20516,0.000000000000e+00,2.110912626688e-04,0.000000000000e+00,2.110912626688e-04,2.8062
3,2,0.0078125000,-0.2421875000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,3,0.0117187500,-0.2382812500,8.509616526335e-05,1.500000000000e-04,20000,20516,0.000000000000e+00,8.509616526335e-05,0.000000000000e+00,8.509616526335e-05,2.4116
3,5,0.0195312500,-0.2304687500,4.287791272959e-05,5.000000000000e-05,20000,20516,0.000000000000e+00,4.287791272959e-05,0.000000000000e+00,4.287791272959e-05,2.1139
3,6,0.0234375000,-0.2265625000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,7,0.0273437500,-0.2226562500,4.221825253375e-05,5.000000000000e-05,20000,20516,0.000000000000e+00,4.221825253375e-05,0.000000000000e+00,4.221825253375e-05,2.1072
3,9,0.0351562500,-0.2148437500,4.287791272959e-05,1.000000000000e-04,20000,20516,0.000000000000e+00,4.287791272959e-05,0.000000000000e+00,4.287791272959e-05,2.1139
3,10,0.0390625000,-0.2109375000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,12,0.0468750000,-0.2031250000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,15,0.0585937500,-0.1914062500,4.221825253375e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.221825253375e-05,0.000000000000e+00,4.221825253375e-05,2.1072
3,17,0.0664062500,-0.1835937500,4.287791272959e-05,1.000000000000e-04,20000,20516,0.000000000000e+00,4.287791272959e-05,0.000000000000e+00,4.287791272959e-05,2.1139
3,18,0.0703125000,-0.1796875000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,20,0.0781250000,-0.1718750000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,24,0.0937500000,-0.1562500000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,31,0.1210937500,-0.1289062500,4.221825253375e-05,5.000000000000e-05,20000,20516,0.000000000000e+00,4.221825253375e-05,0.000000000000e+00,4.221825253375e-05,2.1072
3,33,0.1289062500,-0.1210937500,4.287791272959e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.287791272959e-05,0.000000000000e+00,4.287791272959e-05,2.1139
3,34,0.1328125000,-0.1171875000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,36,0.1406250000,-0.1093750000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,40,0.1562500000,-0.0937500000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
3,48,0.1875000000,-0.0625000000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,0.000000000000e+00,3.298300979200e-07,0.0000
