BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
0,64,0.2500000000,0.0000000000,1.000000000000e+00,1.000000000000e+00,20000,20000,0.0000
1,63,0.2460937500,-0.0039062500,5.000000000000e-01,5.035500000000e-01,20000,20000,2.1072
1,65,0.2539062500,0.0039062500,5.000000000000e-01,4.964500000000e-01,20000,20000,2.1072
2,63,0.2460937500,-0.0039062500,2.490196078431e-01,2.480000000000e-01,20000,20004,3.9100
2,64,0.2500000000,0.0000000000,5.019607843137e-01,5.053500000000e-01,20000,20004,4.2144
2,65,0.2539062500,0.0039062500,2.490196078431e-01,2.466500000000e-01,20000,20004,3.9100
3,63,0.2460937500,-0.0039062500,5.000000000000e-01,4.995000000000e-01,20000,20004,6.1404
3,65,0.2539062500,0.0039062500,5.000000000000e-01,5.005000000000e-01,20000,20004,6.1404
4,62,0.2421875000,-0.0078125000,6.103231806557e-02,6.350000000000e-02,20000,20004,7.0281
4,63,0.2460937500,-0.0039062500,2.499883747966e-01,2.457500000000e-01,20000,20004,7.6404
4,64,0.2500000000,0.0000000000,3.779586142758e-01,3.777500000000e-01,20000,20004,7.8200
4,65,0.2539062500,0.0039062500,2.499883747966e-01,2.551500000000e-01,20000,20004,7.6404
4,66,0.2578125000,0.0078125000,6.103231806557e-02,5.785000000000e-02,20000,20004,7.0281
5,61,0.2382812500,-0.0117187500,3.003177555607e-02,3.050000000000e-02,20000,20004,8.4225
5,63,0.2460937500,-0.0039062500,4.699682244439e-01,4.652500000000e-01,20000,20004,9.6170
5,65,0.2539062500,0.0039062500,4.699682244439e-01,4.754500000000e-01,20000,20004,9.6170
5,67,0.2617187500,0.0117187500,3.003177555607e-02,2.880000000000e-02,20000,20004,8.4225
6,61,0.2382812500,-0.0117187500,1.471676650756e-02,1.495000000000e-02,20000,20004,9.7343
6,62,0.2421875000,-0.0078125000,9.189005429109e-02,9.290000000000e-02,20000,20004,10.5297
6,63,0.2460937500,-0.0039062500,2.352830019147e-01,2.328000000000e-01,20000,20004,10.9381
6,64,0.2500000000,0.0000000000,3.162203545733e-01,3.140000000000e-01,20000,20004,11.0665
6,65,0.2539062500,0.0039062500,2.352830019147e-01,2.382500000000e-01,20000,20004,10.9381
6,66,0.2578125000,0.0078125000,9.189005429109e-02,9.165000000000e-02,20000,20004,10.5297
6,67,0.2617187500,0.0117187500,1.471676650756e-02,1.545000000000e-02,20000,20004,9.7343
7,61,0.2382812500,-0.0117187500,5.992667321878e-02,6.030000000000e-02,20000,20004,11.8969
7,63,0.2460937500,-0.0039062500,4.400733267812e-01,4.369000000000e-01,20000,20004,12.7628
7,65,0.2539062500,0.0039062500,4.400733267812e-01,4.411500000000e-01,20000,20004,12.7628
7,67,0.2617187500,0.0117187500,5.992667321878e-02,6.165000000000e-02,20000,20004,11.8969
8,60,0.2343750000,-0.0156250000,3.489942284089e-03,3.150000000000e-03,20000,20004,12.1552
8,61,0.2382812500,-0.0117187500,2.953471817279e-02,2.860000000000e-02,20000,20004,13.0828
8,62,0.2421875000,-0.0078125000,1.076080510476e-01,1.102000000000e-01,20000,20004,13.6443
8,63,0.2460937500,-0.0039062500,2.204652753170e-01,2.186000000000e-01,20000,20004,13.9558
8,64,0.2500000000,0.0000000000,2.778040263571e-01,2.740500000000e-01,20000,20004,14.0562
8,65,0.2539062500,0.0039062500,2.204652753170e-01,2.220000000000e-01,20000,20004,13.9558
8,66,0.2578125000,0.0078125000,1.076080510476e-01,1.106000000000e-01,20000,20004,13.6443
8,67,0.2617187500,0.0117187500,2.953471817279e-02,2.855000000000e-02,20000,20004,13.0828
8,68,0.2656250000,0.0156250000,3.489942284089e-03,4.250000000000e-03,20000,20004,12.1552
9,59,0.2304687500,-0.0195312500,1.688681750366e-03,1.400000000000e-03,20000,20004,13.2802
9,61,0.2382812500,-0.0117187500,8.427219736702e-02,8.410000000000e-02,20000,20004,14.9783
9,63,0.2460937500,-0.0039062500,4.140391208826e-01,4.121500000000e-01,20000,20004,15.6697
9,65,0.2539062500,0.0039062500,4.140391208826e-01,4.170500000000e-01,20000,20004,15.6697
9,67,0.2617187500,0.0117187500,8.427219736702e-02,8.330000000000e-02,20000,20004,14.9783
9,69,0.2695312500,0.0195312500,1.688681750366e-03,2.000000000000e-03,20000,20004,13.2802
10,59,0.2304687500,-0.0195312500,8.135754181924e-04,1.050000000000e-03,20000,20004,14.3557
10,60,0.2343750000,-0.0156250000,8.751063321733e-03,8.900000000000e-03,20000,20004,15.3874
10,61,0.2382812500,-0.0117187500,4.167693906976e-02,4.100000000000e-02,20000,20004,16.0652
10,62,0.2421875000,-0.0078125000,1.157310043590e-01,1.143500000000e-01,20000,20004,16.5088
10,63,0.2460937500,-0.0039062500,2.075094852748e-01,2.059000000000e-01,20000,20004,16.7624
10,64,0.2500000000,0.0000000000,2.510358651130e-01,2.491000000000e-01,20000,20004,16.8451
10,65,0.2539062500,0.0039062500,2.075094852748e-01,2.093500000000e-01,20000,20004,16.7624
10,66,0.2578125000,0.0078125000,1.157310043590e-01,1.185500000000e-01,20000,20004,16.5088
10,67,0.2617187500,0.0117187500,4.167693906976e-02,4.180000000000e-02,20000,20004,16.0652
10,68,0.2656250000,0.0156250000,8.751063321733e-03,9.150000000000e-03,20000,20004,15.3874
10,69,0.2695312500,0.0195312500,8.135754181924e-04,8.500000000000e-04,20000,20004,14.3557
11,59,0.2304687500,-0.0195312500,5.046813366510e-03,5.550000000000e-03,20000,20004,16.4979
11,61,0.2382812500,-0.0117187500,1.031193641482e-01,1.012000000000e-01,20000,20004,17.8082
11,63,0.2460937500,-0.0039062500,3.918338224853e-01,3.878500000000e-01,20000,20004,18.3880
11,65,0.2539062500,0.0039062500,3.918338224853e-01,3.965000000000e-01,20000,20004,18.3880
11,67,0.2617187500,0.0117187500,1.031193641482e-01,1.039000000000e-01,20000,20004,17.8082
11,69,0.2695312500,0.0195312500,5.046813366510e-03,5.000000000000e-03,20000,20004,16.4979
12,58,0.2265625000,-0.0234375000,1.863650609518e-04,2.000000000000e-04,20000,20004,16.3752
12,59,0.2304687500,-0.0195312500,2.446638748906e-03,2.550000000000e-03,20000,20004,17.4934
12,60,0.2343750000,-0.0156250000,1.448285733992e-02,1.465000000000e-02,20000,20004,18.2657
12,61,0.2382812500,-0.0117187500,5.111596708207e-02,5.175000000000e-02,20000,20004,18.8134
12,62,0.2421875000,-0.0078125000,1.198030478486e-01,1.189000000000e-01,20000,20004,19.1833
12,63,0.2460937500,-0.0039062500,1.964373941584e-01,1.954000000000e-01,20000,20004,19.3981
12,64,0.2500000000,0.0000000000,2.310554595224e-01,2.341000000000e-01,20000,20004,19.4686
12,65,0.2539062500,0.0039062500,1.964373941584e-01,1.964500000000e-01,20000,20004,19.3981
12,66,0.2578125000,0.0078125000,1.198030478486e-01,1.172000000000e-01,20000,20004,19.1833
12,67,0.2617187500,0.0117187500,5.111596708207e-02,5.100000000000e-02,20000,20004,18.8134
12,68,0.2656250000,0.0156250000,1.448285733992e-02,1.495000000000e-02,20000,20004,18.2657
12,69,0.2695312500,0.0195312500,2.446638748906e-03,2.700000000000e-03,20000,20004,17.4934
12,70,0.2734375000,0.0234375000,1.863650609518e-04,1.500000000000e-04,20000,20004,16.3752
13,57,0.2226562500,-0.0273437500,8.859978307544e-05,0.000000000000e+00,20000,20004,17.3257
13,59,0.2304687500,-0.0195312500,9.548408805923e-03,9.450000000000e-03,20000,20004,19.3582
13,61,0.2382812500,-0.0117187500,1.175143513717e-01,1.181500000000e-01,20000,20004,20.4484
13,63,0.2460937500,-0.0039062500,3.728486400393e-01,3.717000000000e-01,20000,20004,20.9498
13,65,0.2539062500,0.0039062500,3.728486400393e-01,3.760000000000e-01,20000,20004,20.9498
13,67,0.2617187500,0.0117187500,1.175143513717e-01,1.153000000000e-01,20000,20004,20.4484
13,69,0.2695312500,0.0195312500,9.548408805923e-03,9.250000000000e-03,20000,20004,19.3582
13,71,0.2773437500,0.0273437500,8.859978307544e-05,1.500000000000e-04,20000,20004,17.3257
14,57,0.2226562500,-0.0273437500,4.192993849249e-05,0.000000000000e+00,20000,20004,18.2403
14,58,0.2265625000,-0.0234375000,6.533778241613e-04,7.000000000000e-04,20000,20004,19.4329
