Site,SiteCount,ProbPerSingleFlip,FaultedValue,OutputOnes,OutputFraction,Delta
value_bit_7,1,0.0037878788,0,0,0.0000000000,-0.2500000000
value_bit_6,1,0.0037878788,192,96,0.3750000000,0.1250000000
value_bit_5,1,0.0037878788,160,80,0.3125000000,0.0625000000
value_bit_4,1,0.0037878788,144,72,0.2812500000,0.0312500000
value_bit_3,1,0.0037878788,136,68,0.2656250000,0.0156250000
value_bit_2,1,0.0037878788,132,66,0.2578125000,0.0078125000
value_bit_1,1,0.0037878788,130,65,0.2539062500,0.0039062500
value_bit_0,1,0.0037878788,129,65,0.2539062500,0.0039062500
stream_bit_on_a_one,128,0.4848484848,128,63,0.2460937500,-0.0039062500
stream_bit_on_a_zero,128,0.4848484848,128,65,0.2539062500,0.0039062500
